Category	Name	Address	City	State	PostalCode
RadOnc	Michigan Medicine	1500 E Medical Center Drive	Ann Arbor	MI	48109
Systemic	Michigan Medicine	1501 E Medical Center Drive	Ann Arbor	MI	48109
Surgery	Michigan Medicine	1502 E Medical Center Drive	Ann Arbor	MI	48109
Hospital	Michigan Medicine	1503 E Medical Center Drive	Ann Arbor	MI	48109
Anonimize	Addison Branch Library	102 South Talbot Street	Addison	MI	49221
Anonimize	Adrian Public Library	143 East Maumee Street	Adrian	MI	49221
Anonimize	Lenawee County Library	4459 West Us 223	Adrian	MI	49221
Anonimize	Alanson Area Public Library	7631 Burr Avenue	Alanson	MI	49706
Anonimize	Albion District Library	501 South Superior Street	Albion	MI	49224
Anonimize	Helena Township Public Library	8751 Helena Road	Alden	MI	49612
Anonimize	Algonac-Clay Township Library	2011 Saint Clair River Drive	Algonac	MI	48001
Anonimize	Allegan Public Library	331 Hubbard Street	Allegan	MI	49010
Anonimize	Allen Park Public Library	8100 Allen Road	Allen Park	MI	48101
Anonimize	Allendale Township Library	6175 Library Lane	Allendale	MI	49401
Anonimize	Alma Public Library	351 North Court Street	Alma	MI	48801
Anonimize	Almont District Library	213 West Saint Clair Street	Almont	MI	48003
Anonimize	Alpena County Library	211 North First Avenue	Alpena	MI	49707
Anonimize	Kent District Library - Alto	071 Linfield Ave.	Alto	MI	49302
Anonimize	Ann Arbor District Library	343 South Fifth Avenue	Ann Arbor	MI	48104
Anonimize	Malletts Creek Branch Library	3090 E. Eisenhower Parkway	Ann Arbor	MI	48104
Anonimize	Pittsfield Branch Library	2359 Oak Valley Drive	Ann Arbor	MI	48104
Anonimize	Washtenaw Library For The Blind And Physically Disabled	343 S. Fifth Ave.	Ann Arbor	MI	48104
Anonimize	West Branch Library	2503 Jackson Avenue	Ann Arbor	MI	48104
Anonimize	Arcadia Township Branch Library	3422 Lake St.	Arcadia	MI	49613
Anonimize	Armada Free Public Library	73930 Church Street	Armada	MI	48005
Anonimize	Ashley District Library	104 New Street	Ashley	MI	48806
Anonimize	Athens Community Library	106 East Burr Oak Street	Athens	MI	49011
Anonimize	Montmorency County Public Libraries	11901 Haymeadow	Atlanta	MI	49709
Anonimize	Attica Township Library	4302 Peppermill Road	Attica	MI	48412
Anonimize	Au Gres Branch Library	300 North Mackinaw	Au Gres	MI	48703
Anonimize	Auburn Hills Public Library	3400 East Seyburn Drive	Auburn Hills	MI	48326
Anonimize	Augusta-Ross Township District Library	105 South Webster Street	Augusta	MI	49012
Anonimize	Bad Axe Area District Library	200 South Hanselman Street	Bad Axe	MI	48413
Anonimize	Pathfinder Community Library	812 Michigan Avenue	Baldwin	MI	49304
Anonimize	Shiawassee Township Library	625 Grand River Road	Bancroft	MI	48414
Anonimize	Bangor Branch Library	420 Division Street	Bangor	MI	49013
Anonimize	Barryton Public Library	198 Northern Avenue	Barryton	MI	49305
Anonimize	Willard Public Library	7 West Van Buren Street	Battle Creek	MI	49017
Anonimize	Bay City Branch Library	708 Center Avenue	Bay City	MI	48708
Anonimize	Bay County Library System	500 Center Avenue	Bay City	MI	48708
Anonimize	Sage Branch Library	4101 East Wilder Road	Bay City	MI	48708
Anonimize	South Side Branch Library	311 Lafayette Avenue	Bay City	MI	48708
Anonimize	Keddie-Norconk Memorial Library	12325 Virginia Street	Bear Lake	MI	48708
Anonimize	Beaver Island District Library	26400 Donegal Bay Road	Beaver Island	MI	49782
Anonimize	Beaverton Branch Library	128 West Saginaw Street	Beaverton	MI	48612
Anonimize	Alvah N. Belding Memorial Library	302 East Main Street	Belding	MI	48809
Anonimize	Bellaire Public Library	111 South Bridge Street	Bellaire	MI	49615
Anonimize	Fred C. Fischer Public Library	167 Fourth Street	Belleville	MI	48111
Anonimize	Bellevue Township Library	212 North Main Street	Bellevue	MI	49021
Anonimize	Benton Harbor Public Library	213 East Wall Street	Benton Harbor	MI	49022
Anonimize	Benzonia Public Library	891 Michigan Avenue	Benzonia	MI	49616
Anonimize	Berkley Public Library	3155 Coolidge Highway	Berkley	MI	48072
Anonimize	Berrien Springs Community Library	215 West Union Street	Berrien Springs	MI	49103
Anonimize	Bessemer Public Library	411 South Sophie Street	Bessemer	MI	49911
Anonimize	Darcy Library Of Beulah	7238 Commercial Street	Beulah	MI	49617
Anonimize	Big Rapids Community Library	426 South Michigan Avenue	Big Rapids	MI	49307
Anonimize	Thomas E. Fleschner Memorial Library	11935 Silver Creek Drive	Birch Run	MI	48415
Anonimize	Baldwin Public Library	300 West Merrill Street	Birmingham	MI	48009
Anonimize	Rolland Township Branch Library	430 Harry Street	Blanchard	MI	49310
Anonimize	Schultz-Holmes Library	407 South Lane Street	Blissfield	MI	
Anonimize	Bloomfield Township Public Library	1099 Lone Pine Road	Bloomfield Hills	MI	48302
Anonimize	Bloomingdale Branch Library	109 East Kalamazoo Avenue	Bloomingdale	MI	
Anonimize	Boyne District Library	201 East Main Street	Boyne City	MI	49712
Anonimize	Boyne Falls Branch Library	2290 Railroad Street	Boyne Falls	MI	
Anonimize	Howe Memorial Library	128 East Saginaw Street	Breckenridge	MI	48615
Anonimize	Bridgman Public Library	4460 Lake Street	Bridgman	MI	49106
Anonimize	Brighton District Library	100 Library Drive	Brighton	MI	48116
Anonimize	Britton Branch Library	120 College Avenue	Britton	MI	
Anonimize	Bronson Branch Library	207 North Matteson Road	Bronson	MI	
Anonimize	Brooklyn Branch Library	207 North Main	Brooklyn	MI	
Anonimize	Brown City Public Library	4207 Main Street	Brown City	MI	48416
Anonimize	Buchanan District Library	128 East Front Street	Buchanan	MI	49107
Anonimize	Buckley Branch Library	305 South First Street	Buckley	MI	
Anonimize	Burlington Township Library	135 Elm Street	Burlington	MI	49029
Anonimize	Salem Township Library	3007 142nd Ave	Burnips	MI	49314
Anonimize	Burr Oak Township Library	220 South Second Street	Burr Oak	MI	49030
Anonimize	Taymouth Township Library	2361 East Burt Road	Burt	MI	48417
Anonimize	Baker Park Library	3410 South Grand Traverse	Burton	MI	
Anonimize	Burton Memorial Library		Burton	MI	
Anonimize	Byron Community Library	312 West Maple	Byron	MI	
Anonimize	Kent District Library - Byron Township	8191 Byron Center Ave Sw	Byron Center	MI	
Anonimize	Cadillac-Wexford Public Library	411 South Lake Street	Cadillac	MI	49601
Anonimize	Kent District Library - Caledonia Township	6260 92nd St. Se	Caledonia	MI	49316
Anonimize	Calumet Public-School Library	57070 Mine Street	Calumet	MI	49913
Anonimize	Camden Township Library	119 South Main Street	Camden	MI	49232
Anonimize	Canton Public Library	1200 South Canton Center Road	Canton	MI	48188
Anonimize	Capac Public Library	111 North Main Street	Capac	MI	
Anonimize	Carleton Branch Library	1444 Kent Street	Carleton	MI	
Anonimize	Caro Area District Library	840 West Frank Street	Caro	MI	48723
Anonimize	Carson City Public Library	102 West Main Street	Carson City	MI	48811
Anonimize	Rawson Memorial District Library	6495 Pine Street	Cass City	MI	48726
Anonimize	Cass District Library	319 M-62	Cassopolis	MI	49031
Anonimize	Local History Branch Library	145 North Broadway	Cassopolis	MI	
Anonimize	Cedar Springs Public Library	43 West Cherry Street	Cedar Springs	MI	49319
Anonimize	Les Cheneaux Community Library	75 East Hodeck Street	Cedarville	MI	
Anonimize	Center Line Public Library	7345 Weingartz Street	Center Line	MI	48015
Anonimize	Central Lake District Library	7900 Maple Street	Central Lake	MI	49622
Anonimize	Nottawa Township Library	685 East Main Street	Centreville	MI	49032
Anonimize	Charlevoix Public Library	220 West Clinton Street	Charlevoix	MI	49720
Anonimize	Charlotte Community Library	226 South Bostwick Street	Charlotte	MI	48813
Anonimize	Chase Township Public Library	8400 East North Street	Chase	MI	49623
